country,import_leisure,import_politics,import_work,goals_parents_proud,men_political_leaders,univ_boy_girl,happiness,health,freedom,standard_of_living,trust,confidence_gov,confidence_univ,everyone_provided,corrupt,sci_tech_life,sci_not_important,age,age_3cat,highest_edu_3cat,income_3cat
CHN,rather important,rather important,rather important,strongly agree,strongly agree,strongly agree,very happy,very good,10,better off,need to be very careful,a great deal,quite a lot,1,10,10,1,60,50 years and over,middle,medium
CHN,rather important,rather important,very important,agree,agree,agree,very happy,very good,5,better off,most people can be trusted,a great deal,a great deal,6,7,10,2,46,30-49 years,lower,medium
CHN,rather important,very important,very important,agree,agree,disagree,rather happy,fair,7,better off,need to be very careful,a great deal,quite a lot,4,9,10,1,36,30-49 years,lower,medium
CHN,not very important,rather important,rather important,disagree,disagree,disagree,rather happy,fair,7,better off,most people can be trusted,not very much,quite a lot,1,10,10,1,31,30-49 years,high,low
CHN,rather important,not very important,rather important,disagree,disagree,disagree,rather happy,good,5,better off,most people can be trusted,a great deal,a great deal,5,6,8,4,24,16-29 years,high,medium
CHN,not very important,rather important,rather important,agree,disagree,disagree,rather happy,good,10,better off,most people can be trusted,quite a lot,quite a lot,5,8,10,1,65,50 years and over,lower,NA
CHN,rather important,rather important,rather important,agree,agree,disagree,very happy,fair,10,better off,most people can be trusted,quite a lot,NA,1,1,10,1,56,50 years and over,middle,medium
CHN,rather important,not very important,rather important,agree,disagree,disagree,rather happy,good,6,better off,most people can be trusted,a great deal,a great deal,8,8,10,1,31,30-49 years,high,medium
CHN,rather important,rather important,very important,agree,disagree,disagree,very happy,very good,6,better off,need to be very careful,quite a lot,quite a lot,6,1,7,7,28,16-29 years,high,medium
CHN,rather important,very important,very important,agree,disagree,disagree,rather happy,good,10,better off,need to be very careful,quite a lot,quite a lot,8,7,10,1,28,16-29 years,lower,medium
CHN,very important,not very important,not at all important,agree,strongly agree,strongly agree,very happy,very good,10,better off,need to be very careful,a great deal,a great deal,1,5,10,1,56,50 years and over,lower,medium
CHN,rather important,rather important,very important,strongly agree,agree,agree,very happy,good,6,better off,most people can be trusted,a great deal,quite a lot,8,5,10,1,48,30-49 years,lower,medium
CHN,very important,very important,very important,strongly agree,agree,strongly agree,very happy,good,10,better off,most people can be trusted,quite a lot,quite a lot,7,7,8,5,57,50 years and over,lower,medium
CHN,very important,rather important,not at all important,strongly agree,disagree,strongly agree,very happy,very good,8,about the same,need to be very careful,a great deal,quite a lot,10,1,8,1,57,50 years and over,lower,medium
CHN,very important,very important,very important,strongly agree,strongly agree,disagree,very happy,very good,9,better off,most people can be trusted,a great deal,a great deal,8,2,10,1,37,30-49 years,high,medium
CHN,very important,rather important,very important,strongly agree,disagree,disagree,very happy,good,8,better off,most people can be trusted,quite a lot,quite a lot,1,10,9,2,51,50 years and over,lower,medium
CHN,NA,not very important,very important,agree,disagree,disagree,rather happy,fair,9,better off,most people can be trusted,quite a lot,quite a lot,3,10,9,4,46,30-49 years,lower,medium
CHN,very important,very important,very important,strongly agree,strongly agree,agree,very happy,very good,10,better off,most people can be trusted,a great deal,a great deal,1,1,10,1,58,50 years and over,lower,medium
CHN,not very important,not very important,very important,strongly agree,agree,disagree,rather happy,fair,6,better off,most people can be trusted,a great deal,quite a lot,6,8,9,9,54,50 years and over,middle,medium
