NEWID,BLS_URBN,CUTENURE,HIGH_EDU,FAM_SIZE,FINCBEFX,FRSHVEG,FRSHFRUT,FOODTOT,FOODAWAY,FOODHOME
04731602,1,1,13,1,0,0,0,82.74979,32.74979,50
04731621,1,1,13,1,30000,0,0,33.53,1.1,32.43
04731622,1,1,13,1,30000,0,1.4,128.84,10.13,118.71
04731671,1,2,16,2,4982,6.71772,4.03521,125.00001,0,125.00001
04731672,1,2,16,2,4982,2.35648,14.39775,99.99999,0,99.99999
04731741,1,4,16,1,15426,0,0,44.84,30.56,14.28
04731742,1,4,16,1,15426,0,0,85.42,0,85.42
04731771,1,2,12,4,35064,12.97,3.86,295.15,0,295.15
04731772,1,2,12,4,35064,0,10.31,190.59,0,190.59
04731781,1,2,15,1,29482,0,0,0,0,0
04731782,1,2,15,1,29482,11.53,17.37,109.13,0,109.13
04731851,1,1,15,1,77388,12.90277,9.69873,328.00942,20.29,307.71942
04731852,1,1,15,1,77388,11.99812,16.29403,192.33429,32.02,160.31429
04731881,1,4,10,1,0,0,0,19.93,0,19.93
04731882,1,4,10,1,0,0,7.6,110.34,0,110.34
04731911,1,4,13,5,32600,8.39,18.61,208,0,208
04731912,1,4,13,5,32600,0,2.84,5.58,0,5.58
04732011,1,2,16,2,33624,0,32,434.25,350.25,84
04732012,1,2,16,2,33624,53.99,21.33,329.9,64.5,265.4
04732051,1,1,13,2,5146,0,2.23,28.91,11.94,16.97
04732052,1,1,13,2,5146,6.28,3.34,113.99,29.85,84.14
04732061,1,4,15,2,0,0,0,32,32,0
04732062,1,4,15,2,0,0,0,0,0,0
04732071,1,4,13,2,41000,0,0,41.49,41.49,0
04732072,1,4,13,2,41000,0,0,62.16,62.16,0
04732101,1,1,16,3,111100,33.28739,31.55476,446.64002,98.67,347.97002
04732102,1,1,16,3,111100,23.59,15.75353,228.81001,41.45,187.36001
04732151,1,1,15,3,157350,0,8.19,336.94,151.89,185.05
04732152,1,1,15,3,157350,0,3.04,257.29,77.45,179.84
04732161,2,4,11,1,9558,0,0,46.17,0,46.17
04732162,2,4,11,1,9558,0,0,0,0,0
04732261,1,4,15,1,62200,0,4.09667,85.66002,29.79,55.87002
04732262,1,4,15,1,62200,18.07934,19.17715,234.7674,32.29133,202.47607
04732281,1,4,10,1,50000,2.3,0,20.75,0,20.75
04732282,1,4,10,1,50000,1.73,0,1.73,0,1.73
04732291,1,2,15,1,4200,0,0,12.23,12.23,0
04732301,1,1,16,4,302520,29.19515,8.87889,585.59003,241.72,343.87003
04732302,1,1,16,4,302520,14.04107,17.22455,746.21997,254.91,491.30997
04732311,1,4,16,1,82800,0,0,60,60,0
04732312,1,4,16,1,82800,0,0,60,60,0
04732341,1,2,16,2,13224,24.4952,13.5556,191.18,27.13,164.05
04732342,1,2,16,2,13224,7.48,4.67,154.83,0,154.83
04732381,1,3,15,2,0,0,0,0,0,0
04732382,1,4,15,2,0,0,0,0,0,0
04732491,1,4,16,2,150000,13,1.32,275.85999,48,227.85999
04732492,1,4,16,2,150000,3.97,0,182.72,86.22,96.5
04732521,1,4,12,1,11880,0,0,85,85,0
04732522,1,4,12,1,11880,0,0,87,87,0
04732531,2,2,14,3,12000,4.46,1.29,107.38,21.27,86.11
04732532,2,2,14,3,12000,2.49,11.87,170.38421,118.59421,51.79
04732551,1,2,11,5,55000,5.39,0.81,224.13,131.93,92.2
04732552,1,2,11,5,55000,0,0,112.7,80.92,31.78
04732601,1,2,15,2,30012,7.04,0,35.34,0,35.34
04732602,1,2,15,2,30012,0,0,73.33,0,73.33
04732611,1,4,15,2,75900,0,0,128,30,98
04732612,1,4,15,2,75900,0,0,0,0,0
04732651,1,4,13,2,0,4.69701,7.7603,150.17999,52.51,97.66999
04732652,1,4,12,2,0,3.78925,11.58232,294.77771,149.29772,145.47999
04732661,1,2,13,4,48000,8.81,3.61,73.81,18.39,55.42
04732662,1,2,13,4,48000,2.59,0,62,43,19
04732691,1,4,13,2,43385,6.48,6.44,121.68,13.15,108.53
04732692,1,4,13,2,43385,3.72,1.63,69.2,27.29,41.91
04732701,1,2,15,2,1782,0,24.99,79.62,0,79.62
04732702,1,2,15,2,1782,0,0,23.05,0,23.05
04732711,1,4,15,1,47062,6.68,3.38,48.61,0,48.61
04732712,1,4,15,1,47062,6.49,4.91,42.08,0,42.08
04732721,1,4,14,1,38003,0,0,271,170.01,100.99
